Word,Furigana,Definition,Japanese sentence,English translation
何より,なにより,"above all, before everything else",ご無事で何よりです。,I'm glad to know you're safe.
わざわざ,わざわざ,go to a lot of trouble,わざわざ来てくれてありがとう。,Thank you for coming all the way here.
伸びる,のびる,"stretch, grow",髪がだいぶ伸びたね。,"Your hair has grown a lot, hasn't it?"
延びる,のびる,"extend, be postponed",工事の予定が1ヶ月延びてしまった。,The construction schedule has been postponed for one month.
広げる,ひろげる,"spread, unfold",電車の中では新聞を広げないで。,Don't spread your newspaper wide open in the train.
授業,じゅぎょう,"class, lesson",今日は日本語の授業があります。,There's going to be a Japanese class today.
早速,さっそく,immediately,では早速書類をお送りします。,I will send the documents immediately.
入り口,いりぐち,entrance,入り口は向こうです。,The entrance is over there.
友人,ゆうじん,friend,彼は高校時代からの友人です。,He's my old friend from high school.
すっかり,すっかり,"all, completely",買い物をすっかり忘れていた。,I completely forgot the shopping.
びっくりする,びっくりする,surprised,大きな音にびっくりしました。,I was startled by a sudden sound.
世話,せわ,"take care of, provide service",旅行の間、犬の世話をしてください。,Please take care of the dog while we're on our trip.
未来,みらい,future,未来は誰にも分からない。,Nobody knows the future.
いつか,いつか,"some time, some day",僕はいつかアフリカに行きたい。,I want to go to Africa some time.
写真,しゃしん,photograph,写真は良い思い出になります。,Photographs make a good souvenir.
救う,すくう,"save, relieve",彼女は通りがかりの人に救われたよ。,She was saved by a passing stranger.
なめる,なめる,"lick, lap",犬に顔をなめられました。,The dog licked my face.
そば,そば,"side, vicinity",そばにいて下さい。,Stay with me.
よろしい,よろしい,all right,レポートはこれでよろしいですか。,Is this all right as a report?
個人,こじん,individual,これは私個人の意見です。,This is my personal opinion.
ああ,ああ,that kind of,ああうるさい人は苦手です。,I don't like loud people like that.
利用,りよう,"utilization, usage",私はよく図書館を利用します。,I often use the library.
柔らかい,やわらかい,soft,布団がとても柔らかい。,The futon is very soft.
素晴らしい,すばらしい,"splendid, excellent",素晴らしい景色ですね。,This is wonderful scenery.
時期,じき,"time, season",今はあなたにとって大事な時期です。,It's an important time for you now.
風呂,ふろ,bath,父は今お風呂に入っています。,My father's in the bath now.
組む,くむ,"pair up, partner with",このプロジェクトで私は彼と組んでいるんだ。,I am pairing up with him for this project.
範囲,はんい,"range, scope",知っている範囲で教えてください。,Please tell us as much as you know.
命令,めいれい,"command, order",彼女は命令に従わなかった。,She did not obey orders.
額,がく,picture frame,写真を額に入れて飾ったんだ。,I put the photo in a frame and hung it up.
楽,らく,"comfort, relief",彼には楽な仕事が与えられたよ。,He was given an easy job.
選択,せんたく,"selection, choice",この5種類から選択できます。,You can select one from these five types.
廊下,ろうか,"hallway, corridor",廊下は走らないでください。,Don't run in the hallway.
満足,まんぞく,"satisfaction, contentment",彼は結果に満足したようです。,He seems to be satisfied with the result.
今更,いまさら,"now, too late",今更後悔しても、もう遅いよ。,It is too late for regrets.
歯,は,"tooth, cog",私の歯は丈夫です。,My teeth are strong.
速度,そくど,"speed, velocity",新幹線の速度はどれくらいですか。,How fast is the speed of the Shinkansen?
調査,ちょうさ,"investigation, inquiry",私たちがその問題を調査しています。,We're investigating that problem.
間違う,まちがう,"be mistaken, be incorrect",あなたは間違っている。,You're mistaken.
秘密,ひみつ,"secret, privacy",これは秘密です。,This is a secret.
二階,にかい,"second floor, upstairs",兄は二階にいます。,My elder brother is on the second floor.
扱う,あつかう,"handle, deal with",この荷物は丁寧に扱って下さい。,Please handle this luggage with care.
ご飯,ごはん,"cooked rice, meal",私はパンよりご飯が好きだ。,I prefer rice to bread.
適当,てきとう,"suitable, appropriate",その質問の適当な答えが見つかりません。,I could not find an appropriate answer to the question.
たまに,たまに,"occasionally, by chance",彼はたまに料理をします。,He cooks occasionally.
現す,あらわす,"show, reveal",彼はようやく姿を現しましたね。,He finally showed up.
表す,あらわす,"express, represent",私たちは万歳をして喜びを表しました。,We expressed our joy by throwing our arms in the air.
薬,くすり,"drug, remedy, chemical",この薬を必ず飲んでください。,Please be sure to take this medicine.
年,とし,"year, age",新しい年が始まりました。,A new year has started.
機嫌,きげん,"mood, health",彼女は大変機嫌がいいね。,She is in a very good mood.
不可能,ふかのう,impossible,レポートを1日で仕上げるのは不可能です。,It's impossible to finish up the report in a day.
成長,せいちょう,growth,庭の木、大きく成長したわね。,The tree in the garden has grown a lot.
まとめる,まとめる,"gather together, put in order",彼女は荷物をまとめて出て行った。,She packed her luggage and left.
支える,ささえる,"support, maintain",父親には一家を支える責任がある。,My father has the responsibility to support the family.
危ない,あぶない,"dangerous, uncertain",その道は車が多くて危ない。,"There are many cars on that road, so it's dangerous."
犬,いぬ,dog,この犬はとても賢い。,This dog is very clever.
依頼,いらい,"request, commission",彼に協力を依頼しました。,I requested his cooperation.
興奮,こうふん,"excitement, agitation",彼女の優勝に感激し興奮しました。,I was excited and moved by her victory.
机,つくえ,"desk, table",新しい机を買ってもらいました。,They bought me a new desk.
下がる,さがる,"come down, hang down, fall",やっと熱が下がった。,His fever finally went down.
城,しろ,"castle, fort",今回の旅行ではヨーロッパの城を見て回ります。,I will look around some European castles on this trip.
差し出す,さしだす,"submit, stretch out",彼は握手をしようと手を差し出したの。,He put out his hand to shake hands.
教室,きょうしつ,"classroom, class",私の教室は3階にあります。,My classroom is on the third floor.
褒める,ほめる,"praise, commend",頑張ったので褒められました。,He was praised because worked hard.
悲しい,かなしい,sad,その映画はとても悲しかった。,That movie was very sad.
迷惑,めいわく,"trouble, annoyance",人に迷惑をかけてはいけません。,You shouldn't cause trouble for other people.
久しぶり,ひさしぶり,after a long time,明日、久しぶりに友達に会います。,Tomorrow I'm meeting a friend I haven't seen for a long time.
含める,ふくめる,include,私を含めて10人が参加しました。,"Ten people participated, myself included."
恐ろしい,おそろしい,"terrible, awful",昨夜恐ろしい夢を見た。,I had a terrible dream last night.
真剣,しんけん,"serious, sincere",彼は真剣に話を聞いていました。,He listened attentively to the story.
門,もん,"gate, entrance",8時に学校の門が開きます。,The gate of the school opens at eight o'clock.
願い,ねがい,"wish, request",世界の平和が私たちの願いです。,Our wish is for world peace.
船,ふね,"ship, boat, vessel",私たちは船に乗った。,We got on the ship.
挟む,はさむ,trap,ドアに指を挟んだ。,I trapped my finger in the door.
香り,かおり,"perfume, fragrance",この花はいい香りがしますね。,This flower smells good.
喉,のど,the throat,風邪をひいて喉が痛いです。,I caught a cold and have a sore throat.
暮らす,くらす,"live, earn one's livelihood",将来は海の近くで暮らしたいな。,I want to live near the sea in the future.
参る,まいる,"go, come",さあ、参りましょうか。,"Well, shall we go?"
去る,さる,"go away, leave",去る者は追わず。,Do not chase after one who leaves.
荷物,にもつ,"baggage, load",彼の家に荷物を送りました。,I sent a package to his house.
真面目,まじめ,"serious, sober, earnest",彼は真面目な人です。,He's a serious-minded person.
余計,よけい,"excess, needless",余計なことを言ってはだめよ。,Don't say things you don't need to say.
戦争,せんそう,"war, battle",2003年にイラクで戦争があった。,There was a war in Iraq in 2003.
話題,わだい,topic of conversation,ここが話題のレストランです。,This is the restaurant that we were talking about.
どうせ,どうせ,anyway,どうせ間に合わないならゆっくり行こう。,Let's go slowly as we won't be on time anyway.
都市,とし,"cities, urban community",東京は日本一大きな都市です。,Tokyo is the largest city in Japan.
無事,ぶじ,"safely, peacefully",無事、家に着きました。,I arrived home safely.
鍵,かぎ,"key, lock",出かける時は鍵を掛けてください。,Please lock the door when you go out.
遅れる,おくれる,be late,今朝彼女は学校に遅れました。,She was late for school this morning.
努力,どりょく,"endeavor, effort",もっと努力しよう。,Let's try harder.
揃う,そろう,be (all) together,朝は家族全員が揃って食事します。,The whole family eats together in the morning.
母親,ははおや,mother,彼女は2才の子の母親です。,She's the mother of a two-year-old kid.
認識,にんしき,"recognition, acknowledgment",その件は終わったと認識しています。,My understanding is that the matter is over.
閉める,しめる,"shut, close",ちゃんとドアを閉めてよ。,Close the door properly.
覆う,おおう,"cover, hide",雲が空を覆っているね。,The sky is overcast.
呼吸,こきゅう,"breathing, respiration",ゆっくり呼吸してください。,Please breathe slowly.
話し掛ける,はなしかける,"address someone, speak to someone",知らない人が話し掛けてきた。,A stranger came up and spoke to me.
同様,どうよう,similar,私たちは彼を家族同様に思っている。,We think of him just like family.
言い方,いいかた,"way of speaking, expression",そんな言い方をしてはいけません。,You mustn't talk like that.
抵抗,ていこう,"resistance, opposition",犯人は警察に抵抗したの。,The criminal resisted the police.
皆様,みなさま,"everyone, ladies and gentlemen",皆様、こんにちは。,Hello everyone.
要するに,ようするに,"in a word, in short",要するに時機を待つべきだ。,"In short, we should wait for the right opportunity."
空く,あく,become available or vacant,後ろの席が空いています。,The rear seat is empty.
雪,ゆき,"snow, snowfall",クリスマスに雪が降りました。,It snowed at Christmas.
隠れる,かくれる,"hide, disappear",太陽が雲に隠れた。,The sun hid behind the clouds.
ついに,ついに,"at last, finally",彼はついに弁護士の資格を取ったよ。,He finally passed the bar examination.
揺れる,ゆれる,"shake, sway, rock",風で木が揺れています。,The trees are swaying in the wind.
階段,かいだん,"steps, flight of stairs",私たちは駅の階段をかけ上がった。,We ran up the station steps.
手段,しゅだん,"means, way",彼は目的のためには手段を選ばなかったわね。,He used every trick in the book to achieve his aims.
真っ赤,まっか,deep red,彼の顔は真っ赤でした。,His face was red.
迷う,まよう,"be perplexed, hesitate, get lost",道に迷いました。,I lost my way.
鋭い,するどい,"pointed, acute",鋭い刃物で指を怪我した。,I injured my finger on the sharp knife.
姉,あね,older sister,姉は大学生です。,My big sister's a college student.
下,もと,under the supervision,私はその教授の下で論文を書いたの。,I wrote my thesis under that professor's supervision.
問う,とう,"ask, question",応募者の年齢は問いません。,Applicants of all ages are accepted.
旅,たび,"journey, travel",姉はよく旅をします。,My big sister often travels.
くだらない,くだらない,"worthless, trifling",くだらないおしゃべりはやめなさい。,Stop chattering.
多少,たしょう,"a little, somewhat",このソフトには多少問題がある。,There are some problems with this software.
うるさい,うるさい,"noisy, annoying, pesky",この通りは車の音がうるさい。,Traffic is noisy on this street.
被害,ひがい,"damage, harm",彼の家は台風の被害にあったの。,His house was damaged in the typhoon.
悲鳴,ひめい,"shriek, scream",外から悲鳴が聞こえたな。,A scream was heard outside.
貸す,かす,"lend, lease",私は彼に本を貸しています。,I'm lending him the book.
印象,いんしょう,impression,彼から良い印象を受けたわ。,I got a good impression from him.
訓練,くんれん,"training, drill",学校で避難訓練がありました。,There was a fire drill at the school.
刺激,しげき,"stimulus, stimulation",そのクイズ番組は脳を刺激するね。,The quiz show stimulates the brain.
構える,かまえる,set up (shop),彼はあの通りに店を構えているの。,He's set up his shop on that street.
夏,なつ,summer,私は夏が大好き。,I just love summer.
たまらない,たまらない,"can't stand, can't put up with",頭が痛くてたまらない。,I have an unbearable headache.
苦労,くろう,"difficulty, hardship",母は苦労して私たちを育てたの。,My mother had a hard time bringing us up.
疲れ,つかれ,"fatigue, exhaustion",最近疲れがたまっています。,My fatigue is building up these days.
受け止める,うけとめる,"catch, receive",ボールが速過ぎて受け止められなかったの。,The ball was so fast that I couldn't catch it.
絶えず,たえず,"constantly, always",今日は絶えず電話が鳴りました。,The telephone didn't stop ringing today.
苦しい,くるしい,"painful, difficult",食べ過ぎておなかが苦しい。,I have eaten too much and my stomach hurts.
飲み込む,のみこむ,"swallow, grasp",彼は薬を一気に飲み込んだ。,He swallowed all of the medicine in one go.
評価,ひょうか,"evaluation, appraisal",最近、彼の評価が上がった。,He's been receiving more recognition lately.
月,つき,moon,今夜は月がとてもきれいです。,The moon looks so beautiful tonight.
九,く,nine,私は九月に行く予定です。,I plan to go in September.
有り難い,ありがたい,"welcome, grateful",彼の助けは本当に有り難いな。,His help is really welcome.
寄せる,よせる,"draw near, draw up, gather",車を塀に寄せたよ。,I pulled the car over by the wall.
果たす,はたす,"accomplish, realize",彼はしっかりと責任を果たしました。,He fulfilled his responsibilities diligently.
漏らす,もらす,"give away, let leak",秘密を漏らしたのは彼です。,He's the one who leaked the secret.
式,しき,ceremony,彼らは教会で式を挙げました。,They had a wedding ceremony in the church.
仲,なか,personal relationship,あなたたちは仲がいいですね。,"You get on well together, don't you?"
価値,かち,"value, merit",とても価値のある話を聞いたよ。,I heard a very valuable story.
計画,けいかく,"plan, project",彼は一人旅の計画を立てた。,He planned a journey alone.
飛び出す,とびだす,"fly out, dash out",彼は道路に飛び出したの。,He ran out into the road.
勝負,しょうぶ,match,勝負はまだ始まったばかりよ。,The match has just started.
歴史,れきし,history,私は歴史に興味があります。,I'm interested in history.
単純,たんじゅん,"simple, uncomplicated",彼は単純な人です。,He's an uncomplicated person.
人気,にんき,"popularity, temperament of the people, business conditions",このバンドはとても人気があるよ。,That band is very popular.
都合,つごう,circumstances,今日は都合が悪くて行けません。,I can't go today because it's not convenient for me.
女子,じょし,"woman, girl",このクラスの女子は18人です。,There are 18 girls in this class.
掻く,かく,scratch,背中をお母さんに掻いてもらったの。,I had my mother scratch my back.
冷静,れいせい,"cool, calm",冷静に話し合いましょう。,Let's talk calmly.
父親,ちちおや,father,彼の父親は先生です。,His father is a teacher.
おっしゃる,おっしゃる,say,あなたのおっしゃる通りです。,It is as you say.
両親,りょうしん,parents,私の両親は大阪に住んでいます。,My parents live in Osaka.
平気,へいき,"nonchalant, calm",彼女は平気な顔をしていた。,She looked as if nothing had happened.
警戒,けいかい,"vigilance, precaution",地震のあとは津波に警戒してください。,Beware of tsunamis after an earthquake.
試す,ためす,"try, test",彼はそのソフトウェアを試したの。,He tested the software.
増す,ます,"increase, augment",大雨で川の水かさが増しているな。,The river swells because of the downpour.
きちんと,きちんと,"properly, neatly",問題についてきちんと話し合ったよ。,We discussed the problem thoroughly.
微妙,びみょう,"subtle, delicate",彼は会社で微妙な立場にあります。,He's in a delicate position in the company.
紹介,しょうかい,"introduction, presentation",両親に彼女を紹介した。,I introduced my girlfriend to my parents.
あんまり,あんまり,"(not) that much, (not) so much",これはあんまり好きじゃないな。,I don't like this so much.
出掛ける,でかける,"go out, be about to go out",主人はもう出掛けました。,My husband has already gone out.
確かめる,たしかめる,"make sure of, confirm",母はお釣りを確かめたの。,My mother checked the change.
安全,あんぜん,"safety, security",安全が第一です。,Safety comes first.
展開,てんかい,"unfolding, development",話の展開についていけない。,I can't follow the thread of the conversation.
桜,さくら,"cherry tree, cherry blossom",桜は三月か四月に咲きます。,Cherry blossoms bloom in March or April.
文句,もんく,complaint,彼女はいつも文句ばかり言う。,She always does nothing but complain.
案内,あんない,"guide, inform",私が中をご案内します。,I'll show you around inside.
つなぐ,つなぐ,"connect, join",インターネットは世界の人々をつなぎますね。,The Internet links people around the world together.
否定,ひてい,"denial, negation",彼、友達の意見を否定した。,He disagreed with his friend's opinion.
是非,ぜひ,"by all means, at any cost",是非、うちに来てください。,By all means come to my house.
昼,ひる,"daytime, midday",私は昼のドラマを毎日見ます。,I watch daytime dramas every day.
ご存じ,ごぞんじ,know,彼の名前をご存じですか。,Do you know his name?
洗う,あらう,wash,早く顔を洗いなさい。,Hurry up and wash your face.
最大,さいだい,"biggest, largest",これは世界最大の船です。,This is the world's largest ship.
整える,ととのえる,"arrange, adjust",彼はスピーチの前に服装を整えた。,He straightened up his clothes before the speech.
解決,かいけつ,"solution, settlement",トラブルがやっと解決した。,The problem has finally been solved.
切れる,きれる,"run out, expire, can cut",このはさみはよく切れますね。,These scissors cut well.
正面,しょうめん,"front, face",その家の正面には大きなバルコニーがあるの。,There is a large balcony at the front of the house.
疑う,うたがう,"doubt, be suspicious",なぜあなたは私を疑うのですか。,Why do you doubt me?
当時,とうじ,"at that time, at the present time",彼女は当時、まだ3才だった。,She was only three years old at the time.
中身,なかみ,"content, interior",かばんの中身を見せてください。,Please show me the contents of the bag.
専門家,せんもんか,"specialist, expert",教授はフランス文学の専門家。,The professor is a specialist of French literature.
反対,はんたい,"oppose, object",私は反対です。,I'm against it.
土地,とち,land,ここは父の土地です。,This is my father's land.
相変わらず,あいかわらず,"as usual, as before",彼は相変わらず忙しいですね。,He is busy as usual.
全力,ぜんりょく,"all one's might, full capacity",全力で走れ。,Run with all your might!
魚,さかな,fish,肉と魚とどちらが好きですか。,"Which do you prefer, meat or fish?"
得意,とくい,"one's forte, pride, customer",彼は歌が得意です。,He's good at singing.
取り戻す,とりもどす,"take back, recover",緑を取り戻す必要があります。,We need to recover our green spaces.
囲む,かこむ,"enclose, encircle",久しぶりに家族全員で食卓を囲みました。,We had the entire family around the dinner table for the first time in a long time.
百,ひゃく,hundred,私の祖母は百才です。,My grandmother is 100 years old.
濡れる,ぬれる,get wet,雨で濡れてしまった。,I got wet in the rain.
見方,みかた,"view, way of looking",彼に対する見方が変わりました。,My view of him has changed.
集中,しゅうちゅう,"concentration, convergence",勉強に集中しなさい。,Concentrate on studying.
発言,はつげん,"utterance, speech",会議で全員が発言した。,Everyone spoke at the conference.
通う,かよう,"go to and from, frequent a place",私はジムに通っています。,I go to a gym.
臭い,くさい,"ill-smelling, stinking",納豆は臭い。,Natto stinks.
仮,かり,"provisional, temporary",仮の申し込みをしました。,I submitted a temporary application.
おじさん,おじさん,uncle,昨日おじさんに会いました。,I met my uncle yesterday.
結ぶ,むすぶ,"tie, join",彼女は髪にリボンを結んだね。,She tied a ribbon in her hair.
紙,かみ,paper,紙と鉛筆はありますか。,Do you have paper and pencil?
恋,こい,"love, romance",彼女は恋をしてきれいになったね。,She fell in love and became beautiful.
いかに,いかに,"how, in what way",彼に会えば、彼がいかに良い人か分かります。,If you met him you'd realize what a nice person he is.
許可,きょか,"permission, approval",先生に許可をもらって早退しました。,I got permission from the teacher and left early.
学生,がくせい,student,彼は真面目な学生です。,He's a serious student.
足元,あしもと,"step, under foot",暗いので足元に気を付けてください。,Please watch your step in the dark.
希望,きぼう,"hope, wish",彼は本社で働くことを希望しています。,He hopes to work at the the head office.
右,みぎ,right,右のポケットにハンカチが入っています。,There's a handkerchief in my right pocket.
あちこち,あちこち,all over,私たちは朝からあちこち散歩しました。,We strolled about here and there from the morning.
絵,え,"picture, painting, drawing",これは有名な画家の絵です。,This is a painting by a famous painter.
息子,むすこ,son,うちの息子は大学1年生です。,My son's a college freshman.
細い,ほそい,"thin, slender, narrow",彼女は指が細いですね。,Her fingers are thin.
提案,ていあん,"proposition, proposal",そのアイデアは彼の提案です。,He's the one who proposed that idea.
破壊,はかい,"breaking, destruction",自然の破壊が進んでいるのよ。,The destruction of nature is advancing.
あきれる,あきれる,be stunned in disappointment or disbelief,彼の頑固さにはあきれました。,I was amazed at his stubbornness.
一切,いっさい,"not at all, not one bit",私は一切その問題とは関係がありません。,I have absolutely nothing to do with that issue.
大人しい,おとなしい,"gentle, quiet, subdued",私の彼女はとても大人しいです。,My girlfriend's very quiet.
本格的,ほんかくてき,"full-scale, authentic",彼は絵を本格的に勉強しているんだ。,He studies painting seriously.
偉い,えらい,"great, famous, eminent",彼は偉い学者です。,He's a great scholar.
遠慮,えんりょ,"reserve, hesitation, forethought",私は遠慮します。,"No thanks, I'll pass (on that)."
有名,ゆうめい,famous,ボルドーはワインの生産で有名だ。,Bordeau is famous for wine production.
目立つ,めだつ,"stand out, be conspicuous",彼女の大きな帽子はとても目立つ。,Her big hat really stands out.
現状,げんじょう,present condition,問題を解決できないのが現状です。,The current situation is that we can't solve the problem.
立派,りっぱ,"fine, excellent",彼は立派な人です。,He's a fine man.
実力,じつりょく,"real ability, capability",二人の実力は互角です。,Their abilities are evenly matched.
喧嘩,けんか,"fight, quarrel, argument",喧嘩はやめて。,Stop fighting.
右手,みぎて,right hand,私は右手で字を書きます。,I write right-handed.
なお,なお,"still, in addition",なお、雨の場合は中止です。,"Moreover, it will be canceled in the event of rain."
趣味,しゅみ,"hobby, interest",私の趣味は映画とテニスです。,My hobbies are tennis and movies.
きつい,きつい,"severe, hard, strict",彼女は性格がきついよね。,She has a strong personality.
道具,どうぐ,tool,道具は全部揃っていますか。,Do we have all the tools ready?
箱,はこ,"box, case",この箱は重い。,This box is heavy.
異常,いじょう,"extraordinary, exceptional",今年の夏は異常な暑さですね。,This summer is exceptionally hot.
機能,きのう,"function, feature",このソフトにはいろいろな機能があります。,This software has a lot of various features.
吸う,すう,"inhale, suck",彼は大きく息を吸った。,He took a deep breath.
いずれ,いずれ,"eventually, sometime",いずれまたお会いしましょう。,Let's meet again sometime.
安い,やすい,"inexpensive, cheap",この服はとても安かった。,These clothes were very cheap.
恋人,こいびと,"lover, sweetheart",彼は恋人を失った。,He lost his girlfriend.
底,そこ,"bottom, depths",コップの底が濡れていますよ。,The bottom of the glass is wet.
せめて,せめて,at least,せめてこれだけは約束してください。,Please promise only this at least.
交わす,かわす,exchange,彼は私と再会の約束を交わした。,He promised me that we'd meet again.
午後,ごご,"afternoon, p.m.",明日の午後、お客様が来る。,A guest is coming to visit tomorrow afternoon.
証拠,しょうこ,"proof, evidence",証拠を見つけるまで逮捕はできません。,It is not possible to make an arrest until evidence is found.
怪しい,あやしい,"suspicious, dubious",その男の行動は怪しかったわ。,That man's behavior was suspicious.
及ぶ,およぶ,"reach to, come up to",あなたにまで迷惑が及んでごめんなさい。,I'm sorry that even you've been inconvenienced.
作戦,さくせん,"tactic, strategy",彼らは次の試合のために作戦を立てたのよ。,They determined the strategy for the next game.
自己,じこ,"oneself, self",これからは自己の判断で行動してください。,Please act on your own judgment from now on.
表,ひょう,"table, list",この表を見てください。,Please look at this chart.
図,ず,"figure, map",図を描いて説明しましょう。,Let me draw a diagram to explain.
素敵,すてき,"lovely, nice",素敵なプレゼントをありがとう。,Thank you for the wonderful gift.
心臓,しんぞう,heart,祖母は心臓が悪いんだ。,My grandmother has a heart condition.
正確,せいかく,"accurate, precise",彼の計算は正確です。,His calculation is accurate.
歌う,うたう,sing,私たちは大きな声で歌いました。,We sang loudly.
見事,みごと,"splendid, admirable",彼は見事なジャンプを見せたね。,He showed us a splendid jump.
種類,しゅるい,"kind, species",バラには色々な種類があります。,There are many varieties of rose.
中央,ちゅうおう,center,その公園は町のほぼ中央に位置するんだ。,The park is located almost in the center of town.
追い掛ける,おいかける,"chase, run after",パトカーがバイクを追いかけてるぞ。,The police car is chasing the motorbike.
端,はし,"end, edge",辞書は本棚の端にあります。,The dictionary is at the end of the bookshelf.
幼い,おさない,"young, childish",彼女には幼い息子がいます。,She has a little son.
狭い,せまい,"narrow, restricted",私の部屋は狭いです。,My room is small.
青い,あおい,blue,ここの海はとても青い。,The sea here is very blue.
動物,どうぶつ,animal,私は動物が大好きです。,I love animals.
法,ほう,"law, rule",国民は法に従わなければならないよ。,Citizens must observe the law.
古い,ふるい,old,私は古い車が好きです。,I like old cars.
左右,さゆう,right and left,左右を見てから横断歩道を渡りなさい。,Look left and right before crossing the pedestrian crossing.
ついで,ついで,on the way,ついでだから彼も呼ぼうよ。,Let's use this chance to invite him too.
物凄い,ものすごい,tremendous,夕方、物凄い雨が降ったね。,There was a tremendous downpour earlier this evening.
番,ばん,"one's turn, watch",今日は私が皿を洗う番ですね。,It's my turn to do dishes today.
仲良く,なかよく,"harmoniously, amicably",あの夫婦は仲良く暮らしているよ。,That married couple is living happily together.
保護者,ほごしゃ,"guardian, protector",私はこの子の保護者です。,I'm this child's guardian.
よほど,よほど,"very, by far",今日の遠足はよほど楽しかったらしい。,Today's excursion seems to have been really good fun.
にらむ,にらむ,"glare, stare",彼女は私をにらんだの。,She glared at me.
姿勢,しせい,"posture, attitude",あの子はいつも姿勢が悪い。,That kid always has bad posture.
防ぐ,ふせぐ,"prevent, defend",怪我を防ぐためによくストレッチをしてください。,Please stretch well to prevent injuries.
材料,ざいりょう,"material, factor",サラダの材料をそろえました。,I have all the ingredients for the salad.
降る,ふる,"fall, come down",激しい雨が降っています。,A very heavy rain is falling.
神様,かみさま,"god, the divine",神様にお願いしました。,I asked a favor to the gods.
病気,びょうき,illness,祖父が病気になった。,My grandfather got sick.
天,てん,"sky, Heaven",天から恵みの雨が降ったね。,A welcome rain fell from the skies.
学ぶ,まなぶ,"learn, study",私は哲学を学んでいます。,I study philosophy.
環境,かんきょう,"environment, surroundings",引っ越して環境が変わりました。,My environment changed since I moved to a new location.
苦手,にがて,"person that is hard to deal with, weak point",私は料理が苦手です。,I'm not good at cooking.
味方,みかた,"friend, ally",母はいつも私の味方です。,My mother always looks out for me.
やや,やや,"little, somewhat",この服、私にはやや小さいみたい。,It looks like these clothes are a little small on me.
生き方,いきかた,"way of life, lifestyle",自分らしい生き方をしなさい。,Live life in your own way.
保つ,たもつ,"preserve, sustain",彼女は若さを保とうと必死だ。,She's desperately trying to retain her youth.
地下,ちか,underground,スタジオは地下にあります。,The studio is in the basement.
沸く,わく,"boil, be excited",お風呂が沸きました。,The bath is ready.
わく,わく,well up,友達に励まされて勇気がわいたよ。,I felt courage well up within me after my friends' encouragement.
伴う,ともなう,"accompany, go with",その仕事は危険を伴う。,Danger comes with the job.
溜まる,たまる,"accumulate, store up",彼はストレスが溜まっているの。,He's under a lot of stress.
寒い,さむい,cold (temperature of the air),この部屋は寒いです。,It's cold in this room.
無視,むし,"ignoring, disregarding",彼の意見は無視されたよ。,His opinion was disregarded.
複雑,ふくざつ,"complicated, intricate",このプログラムはとても複雑です。,This program is very complicated.
突っ込む,つっこむ,"thrust in, dash into",ポケットに財布を突っ込んじゃった。,I thrust my wallet into my pocket.
歌,うた,song,私はその歌を知らなかった。,I didn't know that song.
光る,ひかる,"shine, emit light",波がきらきら光っていました。,The waves sparkled brilliantly.
兼ねる,かねる,"serve two functions, combine",彼女は秘書と事務の担当を兼ねています。,She's in charge of both secreterial and clerical work.
潰す,つぶす,"crush, smash",ペットボトルは潰して捨てましょう。,You should crush plastic bottles before throwing them away.
脱ぐ,ぬぐ,"remove clothes, take off",靴を脱いでください。,Please take off your shoes.
資料,しりょう,"materials, data",図書館で資料を借りて来ました。,I borrowed some materials from the library.
不満,ふまん,"dissatisfaction, discontent",私は彼のやり方には不満です。,I'm dissatisfied with his way of doing things.
発生,はっせい,"occurrence, happening",交差点で事故が発生した。,There was an accident at the intersection.
壊れる,こわれる,"break, break down, get out of order",会社のパソコンが壊れた。,The company computer broke down.
下手,へた,not good at,私は歌が下手だ。,I'm a terrible singer.
運動,うんどう,"movement, exercise",彼はもっと運動した方がいい。,He should exercise more.
恐れる,おそれる,"fear, apprehend",彼は受験の失敗を恐れています。,He is worrying about failing the examination.
漏れる,もれる,"leak, be disclosed",彼のヘッドフォンから音が漏れているね。,Sound is leaking from his headphones.
今年,ことし,this year,今年はイタリアに旅行したい。,I want to travel to Italy this year.
満たす,みたす,"fill, satisfy",彼は応募の条件を満たしていない。,He doesn't meet the application requirements.
弟,おとうと,younger brother,弟は野球が好きです。,My little brother likes baseball.
大部分,だいぶぶん,"most, greater part",絵の大部分が水に濡れてしまったな。,A large portion of picture got wet.
本物,ほんもの,"real thing, genuine article",これは本物のダイヤモンドです。,This is a real diamond.
謎,なぞ,"puzzle, mystery",ピラミッドには謎が多いんだ。,There are a lot of mysteries about the pyramids.
一日,ついたち,1st of the month,来月の一日は空いていますか。,Are you free on the 1st of next month?
混乱,こんらん,"disorder, confusion",地震の後、町は大混乱だったよ。,"After the earthquake, the town was in pandemonium."
あり,あり,ant,ありの群れが砂糖にたかっている。,The army of ants is swarming around the sugar.
骨,ほね,"bone, frame, spirit",彼は足の骨を折りました。,He broke a bone in his foot.
締める,しめる,"tighten, fasten",彼はシートベルトを締めた。,He fastened his seat belt.
見守る,みまもる,"watch, keep watch over",皆で暖かく見守りましょう。,I hope all of us will kindly watch over them.
別れる,わかれる,"separate, part from",駅で友だちと別れました。,I parted with my friend at the station.
日々,ひび,"daily, every day",日々の努力が大切です。,It's important to make efforts every day.
人形,にんぎょう,doll,彼女は人形をたくさん持っています。,She has a lot of dolls.
穏やか,おだやか,"calm, mild",彼らは穏やかな暮らしをしているの。,They live a quiet life.
